Week,dry cough: (Reunion),fever: (Reunion),COVID-19 symptoms: (Reunion),loss of smell: (Reunion),coronavirus testing center: (Reunion)
11/17/2019,0,0,0,0,0
11/24/2019,0,0,0,0,0
12/1/2019,0,0,0,0,0
12/8/2019,0,39,0,0,0
12/15/2019,0,41,0,0,0
12/22/2019,0,44,0,0,0
12/29/2019,0,0,0,0,0
1/5/2020,0,39,0,0,0
1/12/2020,0,0,0,0,0
1/19/2020,0,0,0,0,0
1/26/2020,0,37,0,0,0
2/2/2020,0,0,0,0,0
2/9/2020,0,38,0,0,0
2/16/2020,0,38,0,0,0
2/23/2020,0,75,0,0,0
3/1/2020,0,0,0,0,0
3/8/2020,0,38,0,0,0
3/15/2020,0,71,0,0,0
3/22/2020,0,30,0,0,0
3/29/2020,0,61,0,0,0
4/5/2020,0,31,0,0,0
4/12/2020,0,0,0,0,0
4/19/2020,0,32,0,0,0
4/26/2020,0,0,0,0,0
5/3/2020,0,35,0,0,0
5/10/2020,0,0,0,0,0
5/17/2020,0,0,0,0,0
5/24/2020,0,0,0,0,0
5/31/2020,0,0,0,0,0
6/7/2020,0,0,0,0,0
6/14/2020,0,38,0,0,0
6/21/2020,0,0,0,0,0
6/28/2020,0,39,0,0,0
7/5/2020,0,0,0,0,0
7/12/2020,0,0,0,0,0
7/19/2020,0,40,0,0,0
7/26/2020,0,0,0,0,0
8/2/2020,0,41,0,0,0
8/9/2020,0,39,0,0,0
8/16/2020,0,0,0,0,0
8/23/2020,0,37,0,0,0
8/30/2020,0,36,0,0,0
9/6/2020,0,0,0,0,0
9/13/2020,0,0,0,0,0
9/20/2020,0,0,0,0,0
9/27/2020,0,0,0,0,0
10/4/2020,0,41,0,0,0
10/11/2020,0,45,0,0,0
10/18/2020,0,44,0,0,0
10/25/2020,0,0,0,0,0
11/1/2020,0,0,0,0,0
11/8/2020,0,100,0,0,0
