Week,dry cough: (Croatia),fever: (Croatia),COVID-19 symptoms: (Croatia),loss of smell: (Croatia),coronavirus testing center: (Croatia)
11/17/2019,0,42,0,0,0
11/24/2019,0,72,0,0,0
12/1/2019,0,49,0,0,0
12/8/2019,0,87,0,0,0
12/15/2019,0,56,0,0,0
12/22/2019,0,62,0,0,0
12/29/2019,0,60,0,0,0
1/5/2020,0,37,0,0,0
1/12/2020,0,51,0,0,0
1/19/2020,0,82,0,0,0
1/26/2020,12,64,0,0,0
2/2/2020,0,70,0,0,0
2/9/2020,0,94,0,0,0
2/16/2020,0,60,0,0,0
2/23/2020,12,99,0,0,0
3/1/2020,11,75,0,0,0
3/8/2020,0,87,0,0,0
3/15/2020,11,100,11,0,0
3/22/2020,10,62,21,0,0
3/29/2020,0,71,0,0,0
4/5/2020,0,29,0,0,0
4/12/2020,0,50,0,0,0
4/19/2020,0,72,0,0,0
4/26/2020,0,39,0,0,0
5/3/2020,0,51,0,0,0
5/10/2020,0,28,0,0,0
5/17/2020,0,56,0,0,0
5/24/2020,0,40,0,0,0
5/31/2020,0,22,0,0,0
6/7/2020,0,34,0,0,0
6/14/2020,0,38,11,0,0
6/21/2020,0,23,11,0,0
6/28/2020,0,40,11,0,0
7/5/2020,0,56,11,0,0
7/12/2020,0,28,0,0,0
7/19/2020,0,50,0,11,0
7/26/2020,0,35,0,0,0
8/2/2020,0,28,0,0,0
8/9/2020,0,49,0,0,0
8/16/2020,11,55,0,11,0
8/23/2020,0,57,0,0,0
8/30/2020,12,47,0,12,0
9/6/2020,0,49,12,0,0
9/13/2020,0,55,0,0,0
9/20/2020,0,42,0,0,0
9/27/2020,0,38,0,0,0
10/4/2020,13,51,0,0,0
10/11/2020,0,38,0,0,0
10/18/2020,0,59,0,13,0
10/25/2020,13,63,13,13,0
11/1/2020,0,31,0,0,0
11/8/2020,0,29,0,29,0
